ID,Nombre,Tipo,Descripción,ROI_Objetivo_Realista,Ventana_Temporal,Capital_Sugerido,Frecuencia_Trading,Riesgo_Principal,Requisitos_Técnicos,Ventajas,Limitaciones,Zonas_Permitidas,Evidencia,Cambios_vs_Original
1,Market Rebalancing Arbitrage (Simple),Agresivo,"Explota YES+NO≠$1.00 en mercados individuales. SOLO rebalanceo simple, NO combinatorial (comprobado ineficiente). Ejecución con post-only orders para evitar taker fees.",8-15% (post-dynamic-fees),5-30 segundos,"$5,000-$10,000",Media (30-80 trades/día),"500ms-1h execution delay destruye arbitraje, latencia crítica","WebSocket OBLIGATORIO, VPS <5ms latency, post-only orders, scan 500+ markets/30s, NO REST polling","Matemáticamente garantizado cuando ejecuta, $39.5M extraídos en 12 meses (vs $95K combinatorial)","Oportunidades escasas (dominadas por bots), requiere infraestructura premium, dynamic fees en 15-min",N/A (arbitraje mecánico),86M trades analizados: simple rebalancing 400x más efectivo que combinatorial [web:15][web:135],"ELIMINADO combinatorial arbitrage, AÑADIDO post-only requirement"
2,Esports & Live Events Parsing,Agresivo,"Conexión directa a APIs oficiales de esports (LoL, Dota 2, VALORANT) para detectar eventos in-game 30-40s antes de streams públicos. Capitaliza lag de price discovery.",25-40%,30-40 segundos post-evento in-game,"$3,000-$8,000",Media (20-50 trades/día según eventos),"Dependencia de APIs de terceros, eventos imprevistos in-game, spreads 3-5% en nicho","APIs oficiales de juegos, WebSocket Polymarket, detección de eventos críticos (kills, objectives, team fights)","30-40s ventana documentada, >$200K profits reportados, esports $2.5B volumen anual con 45% CAGR","Requiere expertise en esports, mercados tier-1 tienen spreads bajos (0.5-1%), nicho = alta varianza",Zone 1-2 SOLO (precio típico <$0.40 pre-evento),"Bot con $900 inicial explotó LoL/Dota 2, divergencia 5-15% vs bookmakers [web:98][web:133][web:144]",REEMPLAZA Momentum Cripto CEX Lag (inviable por dynamic fees)
3,Copy Trading de Ballenas Exitosas (Selectivo),Agresivo,"Replica posiciones de traders verificados con >56% real win rate Y profit/loss ratio >2.5. NO copia indiscriminada. Filtros: consistencia 60+ días, especialización domain.",15-25%,1-5 minutos post-detección,"$2,000-$5,000",Baja-Media (10-30 trades/semana),"Oportunidad ya degradada al detectar, ballenas usan cuentas secundarias, 70% de traders pierde dinero","Monitoreo on-chain Polygon, ratio de copia 0.1-0.3x, filtros profit/loss ratio >2.5, win rate verificado >56%","Aprovecha expertise de especialistas (ej: gmpm $2.93M profit, 56.16% win rate), evita research propio","Elite 0.04% captura 70% de profits, mayoría de 'whales' en leaderboard son señuelos",Zone 1-3 con preferencia Zone 1-2,"70% pierde dinero, solo 0.04% domina [web:106][web:109], gmpm 56% real win rate con profit/loss 8.62 [web:147]","AÑADIDO filtro profit/loss ratio obligatorio, win rate objetivo bajado de 60% a 56%"
4,News Scalping & Eventos Verificados,Agresivo,Trading en 30-90s tras breaking news VERIFICADA por 2-3 fuentes independientes. Filtros multi-fuente obligatorios para evitar fake news. Exit en 3-10 min.,20-35%,30-90 segundos post-confirmación,"$4,000-$10,000",Baja (5-15 trades/día según eventos),"Fake news, mercados ya ajustados, need WebSocket para speed","Reuters/Bloomberg API, Twitter/X monitoring con multi-source validation, sentiment analysis, ejecución <100ms","70-80% de ajuste de precio ocurre en primeros 5 min, window de 30-90s es exploitable","Requiere subscripciones premium de news feeds, filtros multi-fuente reducen frecuencia","Zone 1-3, con preferencia Zone 2 ($0.20-$0.40)","30-90s ventana documentada, 70-80% ajuste en 5 min [web:1][web:4]","ROI reducido de 25-40% a 20-35%, AÑADIDO requirement de WebSocket"
5,Market Making con Maker Rebates,Neutro-Agresivo,Provisión de liquidez bidireccional con post-only orders. 20% taker fees redistribuidos como maker rebates (fee-curve weighted). Target: mercados baja volatilidad (<5% 14d).,10-16%,Posiciones rebalanceadas cada 5-30 min,"$8,000-$15,000",Continua (cancel/replace cada 5-30 min),"Inventario desequilibrado en movimientos bruscos, maker rebates solo 20% (no 100%), rewards bajaron post-elección","WebSocket orderbook tracking, post-only orders, volatilidad histórica analysis (3h/24h/7d/30d), inventory management","Ingresos estables sin predicciones, maker rebates diarios USDC, scalable con capital","Requiere capital >$8K para profits absolutos materiales, rewards disminuyeron desde 100% (Jan 9-11) a 20% (Jan 19+)",N/A (provee liquidez en ambos lados),"20% fee-curve weighted rebates desde Jan 19 2026 [web:53][web:108], trader reportó $200-800/día con $10K-30K [web:27]","ROI bajado de 12-20% a 10-16%, clarificado rebates = 20% no 100%"
6,Negative Risk Multi-Outcome Arbitrage,Neutro-Agresivo,"En mercados multi-outcome (elecciones, deportes), comprar múltiples NO o posiciones low-probability cuando sum probabilities desviado. Hedging multi-dirección como insurance, NO arbitraje puro.",12-20%,Minutos a horas,"$4,000-$10,000",Media (20-50 trades/semana),"Liquidez asymmetry, non-atomic execution puede destruir edge, necesita profit/loss ratio >2.5","Multi-outcome market scanner, position management algorithm, hedging ratio calculator, profit/loss tracking","Profits determinísticos en mayoría de outcomes, hedge downside risk, usado por top whales ($2.93M profit)","Requiere análisis profesional para sizing correcto, hedging puede estar en pérdida (usado como insurance)","Zone 1-2 para posiciones minority, Zone 3-4 para hedges","Top whale gmpm: 40% órdenes hedging multi-dirección, profit/loss 8.62, $2.93M profit [web:145][web:147][web:150]","NUEVA ESTRATEGIA reemplazando parte de Insider Detection, basada en análisis 27K trades"
7,AI Contrarian + Attention Markets,Neutro-Agresivo,Apuesta contra overreactions extremas usando ADX+Bollinger Bands. Incorpora attention markets (marzo 2026+) para explotar hype cycles en AI/entertainment topics con Kaito data.,30-80% (alta varianza),Minutos a horas post-pánico/euforia,"$3,000-$8,000",Media (15-40 trades/día),"Eventos de cola justificados, pánico real no overreaction, attention markets = nueva categoría sin histórico","ADX+Bollinger regime detection, circuit breaker tras 3 pérdidas, attention markets: Kaito mindshare/sentiment tracking","ROI extremo en overreactions correctas, attention markets = early mover advantage (marzo 2026), 11,000% ROI en backtests","Alta varianza, puede generar -30% en mes malo, attention markets sin track record",Zone 1 SOLO ($0.05-$0.20) para contrarian extremo,"Vitalik $70K en crazy mode [web:67], 11,000% ROI backtest [web:5], attention markets $1.3M en piloto [web:140][web:148]","INTEGRADO attention markets como sub-estrategia, ROI reducido de 50-150% a 30-80%"
8,Tail Risk + Market Making Combo (planktonXD Strategy),Neutro-Agresivo,"Compra tail risk (0.1-5¢) en mercados ilíquidos esports/nicho + market making en mercados estables. Combo documentado: $106K/año en 61K trades. NO all-in, diversificación 20-50 posiciones.",25-50% (combo de ambas),Días a semanas (tail) + continuo (MM),"$5,000-$10,000","Alta en MM (100-170/día), Baja en tail (5-20/semana)","80-90% tail positions expiran sin valor, requiere paciencia extrema, MM inventory risk","Low-liquidity market scanner, 20-50 tail positions simultáneas, MM con cancel/replace automático","Evidencia MÁS SÓLIDA de todas: planktonXD $106K documentado, payoff asimétrico 100-23,000x en tail hits, MM estabiliza","Requiere disciplina para NO all-in, biggest win planktonXD fue solo $2,527 (2% del total)","Tail: Zone 1 SOLO (<$0.20), MM: ambos lados","planktonXD: $106K en 61K trades, 170/día, VALORANT 23,750% ROI, SOL 9,285% ROI [web:44][web:88]","PROMOVIDO de tail risk puro a combo strategy, es LA estrategia más documentada"
9,Kelly Criterion Value Betting (Zones 1-3 ONLY),Poco Agresivo,Half Kelly o Quarter Kelly para dimensionar posiciones. PROHIBIDO en Zones 4-5. Solo operar cuando edge >5% y probability estimate verificable con modelo propio.,6-12%,Horas a días,"$5,000-$15,000",Muy Baja (3-10 trades/semana),"7% error en probability estimate cambia Kelly de positivo a negativo, overconfidence bias, 70% pierde dinero","Modelo probabilístico propio, Half/Quarter Kelly calculator, edge verification >5%, NO operar sin ventaja informativa","Maximiza crecimiento long-term, protege contra ruina, matemáticamente óptimo CON estimates correctos","Requiere ventaja informativa REAL (difícil de obtener), sensible a errors, Zone 4-5 PROHIBIDAS (picking up pennies)","Zone 1-3 SOLO, preferencia Zone 1-2","7% error flips Kelly sign [web:70], Zone 4 = 'comfort trap' donde se destruye más dinero [web:70][web:119]","ROI bajado de 8-15% a 6-12%, AÑADIDO prohibición explícita Zones 4-5"
10,Long-term Value con Exit Anticipado,Poco Agresivo,Mercados >30 días con análisis fundamental profundo. Exit cuando precio alcanza fair value (NO esperar resolución). Especialización en 1-2 categorías ONLY.,8-14%,Días a semanas (exit anticipado),"$4,000-$12,000",Muy Baja (2-8 trades/semana),"Eventos fundamentales cambian tesis, costo de oportunidad, 70% pierde dinero = difícil tener edge real","Research fundamental profundo, stop-loss probabilístico, especialización domain (política/macro/deportes), tracking de risk factors","Bajo stress, mercados >30d tienen mejor liquidez ($450K promedio), permite research profundo","ROI más bajo, requiere expertise domain REAL (no generalistas), especialistas >generalistas probado",Zone 2-3 ($0.20-$0.60),"Mercados >30d: $450K liquidity vs <1d: $10K [web:59], especialistas $1.4M vs generalistas <$100K [web:135]","ROI bajado de 10-18% a 8-14%, AÑADIDO requirement de especialización 1-2 categorías"
